word,meaning,phonetic,example,example_cn
a,few 一些,,She has a cat and a dog.,她有一只猫和一条狗。
a cold,感冒,,I caught a cold last week.,我上周感冒了。
a few,一些,,I have a few friends in this city.,我在这座城市有几个朋友。
a little,有些.,/'litl/,I speak a little Chinese.,我会说一点中文。
a pair of,一双,/pɛə/,She bought a pair of shoes.,她买了一双鞋。
a.m.,午前；上午,/ˌeɪ ˈem/,The class starts at 9 a.m.,课程上午九点开始。
able,能,/'eibl/,He is able to solve the problem by himself.,他能够自己解决这个问题。
about,关于,大约,/'əbaut/,,
above,在…… 上面,/ə'bʌv/,The plane flew above the clouds.,飞机飞在云层之上。
accountant,会计,/ə'kauntənt/,The accountant is checking the company's financial records.,会计师正在检查公司的财务记录。
active,积极的;活跃的,/'æktiv/,My grandfather is still very active for his age.,我的祖父就他的年龄而言仍然非常活跃。
actor,男演员,/'æktə/,The actor won an award for his performance.,这位演员因他的表演获奖。
actress,女演员,/'æktris/,She is a famous actress in Hollywood.,她是一位好莱坞著名女演员。
afraid,害怕的,/əˈfreɪd/,Do not be afraid to ask questions in class.,不要害怕在课堂上提问。
after,在...之后,,We went for a walk after dinner.,晚饭后我们去散了步。
after school,放学以后,/'ɑ:ftəsku:l/,I play basketball after school.,我放学后打篮球。
afternoon,下午午后,/,ɑ:ftə:'nu:n/,,
again,再一次；又；再,/ə'ɡen/,"Please say that again, I did not hear you.",请再说一遍，我没听清。
ago,以前,,We moved to this city two years ago.,我们两年前搬到了这个城市。
air,空气,/єə/,The fresh air in the mountains is very clean.,山里的新鲜空气非常干净。
air-conditioner,[kən'diʃənə],/ɛə/,The air-conditioner is not working.,空调坏了。
Alaska,阿拉斯加州（美国州名）,/əˈlæskə/,Alaska is the largest state in the United States.,阿拉斯加是美国面积最大的州。
all,全；完全,,All of the students passed the exam.,所有的学生都通过了考试。
all right,好吧；好的,/ɔ:l rait/,Are you all right?,你还好吗？
also,还；也,,She is a talented singer and also plays the guitar.,她是一位有才华的歌手，还会弹吉他。
always,总是;一直,/'ɔ:lweiz/,She always arrives on time for class.,她总是准时上课。
amazing,令人惊奇的,/əˈmeɪzɪŋ/,The view from the top was amazing.,山顶的景色令人惊叹。
America,美国,/ə'merikə/,She traveled to America to study at a university.,她前往美国上大学。
American,美国的,,American culture has spread around the world.,美国文化已经传播到世界各地。
and,和；并且,/ænd/,I bought apples and oranges at the store.,我在商店买了苹果和橙子。
angry,生气的；愤怒的,/'æŋgri/,My mother was angry when I broke the vase.,我打碎花瓶时，妈妈很生气。
animal,动物,/'ænɪməl/,Lions are wild animals that live in Africa.,狮子是生活在非洲的野生动物。
another,另一个.,/ə'nʌðə/,Would you like another cup of tea?,你想再来一杯茶吗？
answer the phone,接电话,/'a:nsəfəun/,"Can you answer the phone, please?",你能接一下电话吗？
ant,蚂蚁,/ænt/,An ant can carry objects much heavier than itself.,蚂蚁能搬运比自己重得多的东西。
any,任何的；任一的,/'eni/,Do you have any questions about the lesson?,你对这节课有什么问题吗？
anything,任何事物,,I am so hungry I could eat anything.,我太饿了，什么都能吃得下。
apple,苹果,/'æpl/,An apple a day keeps the doctor away.,一天一苹果，医生远离我。
April,四月,/'eiprəl/,April is the fourth month of the year.,四月是一年中的第四个月。
are,是,/ɑ:/,They are in the classroom.,他们在教室里。
aren't,不是,/ɑːnt/,You aren't late for the meeting.,你开会没有迟到。
aren't = are not,不是,,They aren't coming to the party.,他们不来参加聚会了。
arm,胳膊;手臂,/ɑ:m/,She broke her arm when she fell off her bike.,她从自行车上摔下来时摔断了胳膊。
art,room 美术教室,,She has always had a great interest in modern art.,她一直对现代艺术有着浓厚的兴趣。
art room,绘画教室,/ɑ:tru:m/,The art room is on the second floor.,美术教室在二楼。
artist,画家,/'ɑ:tist/,The artist painted a beautiful picture of the sunset.,那位艺术家画了一幅美丽的日落画。
ask,问,/ɑːsk/,Can I ask you a question about the homework?,我能问你一个关于作业的问题吗？
at,\(后面接邮件地址\),/æt/,I will meet you at the bus stop at three o'clock.,我三点钟在公交车站和你见面。
at home,在家,/æt həum/,She stayed at home yesterday.,她昨天待在家里。
ate,(eat的过去式) 吃,,We ate lunch at a small restaurant.,我们在一家小餐馆吃了午饭。
attention,注意,/əˈtenʃən/,Please pay attention to what the teacher is saying.,请注意老师在说什么。
August,八月,/'ɔ:gəst/,We usually go on vacation in August.,我们通常八月份去度假。
aunt,阿姨，婶婶，舅妈,/ɑːnt/,My aunt is coming to visit us next weekend.,我姑妈下周末要来看我们。
Australia,澳大利亚,/ɔ'streiliə/,Kangaroos are native to Australia.,袋鼠是澳大利亚本土动物。
autumn,秋天,,The leaves turn red and yellow in autumn.,秋天树叶变成红色和黄色。
baby,婴儿.,/'beibi/,The baby started crying because she was hungry.,婴儿因为饿了开始哭闹。
baby brother,弟弟,/ˈbeɪbi/,My baby brother is only one year old.,我的小弟弟只有一岁。
back,回来,/bæk/,I will be back home before dinner.,我会在晚饭前回家。
bad,坏的,/bæd/,"The food at that restaurant was very bad, so I will not go there again.",那家餐厅的食物很差，所以我再也不会去了。
badminton,羽毛球运动,,We play badminton in the park every Sunday morning.,我们每周日早上在公园打羽毛球。
bag,包，书包,/bæg/,She put her books and laptop into her bag.,她把书和笔记本电脑放进包里。
ball,球,/bɔːl/,The children played with a red ball in the yard.,孩子们在院子里玩一个红色的球。
balloon,气球,/bə'lu:n/,"The little girl let go of her balloon, and it flew up into the sky.",小女孩松开了气球，它飞上了天空。
bamboo,竹子,,Pandas eat bamboo every day.,熊猫每天吃竹子。
banana,香蕉,/bə'nɑːnə/,I eat a banana every morning for breakfast.,我每天早上吃一根香蕉当早餐。
bank,银行,/bæŋk/,I need to go to the bank to withdraw some money.,我需要去银行取一些钱。
basket,篮，筐,,She carried a basket full of fresh vegetables from the market.,她提着一个装满新鲜蔬菜的篮子从市场回来。
basketball,篮球,/'bæskɪtbɔːl/,He plays basketball with his friends every Saturday afternoon.,他每周六下午和朋友打篮球。
bathroom,浴室；洗手间,/ˈbɑːθruːm/,"Excuse me, where is the bathroom?",打扰一下，洗手间在哪里？
be,careful 小心,,I want to be a teacher when I grow up.,我长大后想成为一名老师。
be careful,小心,,Be careful! The water is hot.,小心！水很烫。
beach,海滩，沙滩,,We spent the whole day swimming and playing on the beach.,我们一整天都在海滩上游玩和游泳。
bear,熊,/beə/,A bear lives in the forest.,熊住在森林里。
beautiful,美丽的,/'bjuːtəfəl/,The flowers in the garden are beautiful.,花园里的花很漂亮。
because,因为,/bi'kɔz/,I stayed home because it was raining.,我待在家里因为下雨了。
become,变成,/bi'kʌm/,She wants to become a doctor.,她想成为一名医生。
bed,床,/bed/,I go to bed at ten o'clock.,我十点钟上床睡觉。
bedroom,卧室,/'bedrʊm/,My bedroom is small but cozy.,我的卧室虽小但很舒适。
beef,牛肉,/biːf/,I like to eat beef for dinner.,我晚餐喜欢吃牛肉。
before,在\.\.\. 之前,,Wash your hands before eating.,吃东西前先洗手。
behind,在…… 后面,/bɪ'haɪnd/,The cat is hiding behind the door.,猫躲在门后面。
beside,在…旁边/附近,/bɪˈsaɪd/,She sat beside her best friend.,她坐在她最好的朋友旁边。
best,最、极,/best/,This is the best cake I have ever eaten.,这是我吃过的最好的蛋糕。
better,更好的,/'betə/,You should try to do better next time.,你下次应该努力做得更好。
between,在…… 中间,/bɪ'twiːn/,She sits between her mother and father.,她坐在她妈妈和爸爸之间。
big,大的 .,/biɡ/,That is a very big house.,那是一栋非常大的房子。
bigger,更大的,,This room is bigger than that one.,这个房间比那个大。
big—bigger,更大的,/biɡ/,My house is bigger than yours.,我的房子比你的大。
bike,自行车；脚踏车,/baɪk/,I ride my bike to the park.,我骑自行车去公园。
bird,鸟,/bɜːd/,A bird is singing in the tree.,一只鸟在树上唱歌。
birthday,生日,/'bə:θdei/,Happy birthday to you!,祝你生日快乐！
black,黑色的,/blæk/,She has long black hair.,她有长长的黑发。
blackboard,黑板,/'blækbɔːd/,The teacher wrote the answer on the blackboard.,老师把答案写在黑板上。
blue,蓝色的,/blu:/,The sky is very blue today.,今天天空很蓝。
board,写字板,/bɔ:d/,Please board the train now.,请现在上车。
boat,小船,/bəʊt/,We took a boat across the lake.,我们乘船过了湖。
boating,划船,/'bəʊtɪŋ/,Let's go boating on the lake.,我们去湖上划船吧。
body,身体,/'bɒdi/,Exercise keeps your body healthy.,运动让你的身体保持健康。
book,书,/bʊk/,I am reading a very interesting book.,我在读一本非常有趣的书。
bookstore,书店,/bʊkstɔː/,You can find this book at the bookstore.,你可以在书店找到这本书。
boots,靴子,/bu:ts/,Wear your boots when it snows.,下雪时穿上你的靴子。
bored,无聊的,/bɒ:d/,I am bored because there is nothing to do.,我很无聊，因为无事可做。
both,两个都,,Both of my parents are teachers.,我的父母都是老师。
bottle,瓶子,/'bɒtl/,Please fill the bottle with water.,请把瓶子装满水。
bought,(buy的过去式) 买,,She bought a new dress yesterday.,她昨天买了一条新裙子。
bounce,反弹,/bauns/,The ball will bounce if you drop it.,如果你松手，球会弹起来。
bowl,碗,/bəʊl/,She ate a bowl of soup for lunch.,她午餐吃了一碗汤。
box,盒；箱,/bɒks/,I put the gift in a small box.,我把礼物放在一个小盒子里。
boy,男孩,/bɔɪ/,The boy is playing football with his friends.,那个男孩正在和朋友们踢足球。
bread,面包,/bred/,I bought a loaf of bread from the bakery.,我从面包店买了一条面包。
breakfast,早餐.,/'brekfəst/,I usually eat eggs and toast for breakfast.,我早餐通常吃鸡蛋和吐司。
breath,呼吸,/breθ/,Take a deep breath before you start singing.,开始唱歌前深吸一口气。
bridge,桥,/brɪdʒ/,We walked across the old stone bridge.,我们走过了那座古老的石桥。
broken,破损的,,"The window is broken, so we need to fix it.",窗户破了，我们需要修好它。
brother,兄；弟,/'brʌðə/,My brother is two years older than me.,我哥哥比我大两岁。
brown,棕色的;褐色的,/braun/,She has beautiful brown eyes.,她有一双漂亮的棕色眼睛。
building,建筑物；房子；楼房,/ˈbɪldɪŋ/,That tall building is the tallest in the city.,那栋高楼是这座城市最高的建筑。
bunny,兔子,,The children love to pet the little bunny.,孩子们喜欢抚摸那只小兔子。
bus,公共汽车,/bʌs/,I take the bus to school every morning.,我每天早上坐公交车去上学。
businessman,商人；企业家,/'bɪznəsmən/,The businessman flew to Shanghai for a meeting.,那位商人飞往上海开会。
busy,忙碌的,/'bizi/,My mother is busy cooking dinner in the kitchen.,我妈妈正在厨房忙着做晚饭。
but,但，但是,/bʌt/,"I want to go out, but it is raining outside.",我想出去，但是外面在下雨。
